crop,maturity_days,mean_temp_gs_C,temp_flowering_C,seasonal_rain_mm,rain_flowering_mm,humidity_mean_pct,soil_pH,clay_pct,soil_N_status_kg_ha,soil_P_status_kg_ha,soil_K_status_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_K_kg_ha,irrigation_events,ndvi_flowering,ndvi_peak,ndvi_veg_slope,yield_t_ha,soil_moisture_pct
sunflower,129,17.83,16.95,566.6,220.0,76.8,4.91,17.0,130.4,26.2,359.4,19.010593181743804,29.137133388705728,5.0,2,0.513,0.891,0.0245,1.094075733,26.66
mustard,112,24.07,32.21,767.9,202.2,68.3,7.86,21.2,212.5,20.9,294.1,5.0,31.16197061042173,5.0,3,0.9,0.9,0.0038,1.052121383,26.2
sunflower,123,18.9,14.37,703.6,87.4,60.9,8.44,33.3,158.1,30.9,389.0,11.156362188592702,30.509148541805157,5.0,4,0.854,0.854,0.004,1.152675042,27.3
sunflower,109,31.76,11.29,838.1,127.0,66.3,8.12,8.5,141.1,27.1,240.8,5.0,6.92104824504762,5.0,1,0.3,0.877,0.0178,0.332950619,18.36
soybean,103,21.14,33.92,863.3,42.4,58.8,7.66,13.3,190.8,39.2,198.3,5.0,10.647575298091088,5.0,4,0.442,0.797,0.0085,0.418810658,19.3
sunflower,112,16.84,28.77,914.1,90.6,76.9,6.07,30.4,179.5,29.1,180.3,5.0,14.050753859428552,5.0,3,0.353,0.551,0.0097,0.332950619,18.36
sunflower,111,18.8,11.93,718.3,190.9,74.7,6.28,12.4,126.9,26.4,112.5,18.27964017547882,27.314260019507923,11.340091121018315,0,0.877,0.877,0.0088,0.952904671,25.12
mustard,130,27.37,23.2,605.8,9.9,53.8,6.95,59.3,144.8,33.8,393.6,5.0,9.651197367865823,5.0,0,0.345,0.795,0.0163,0.430022364,19.42
safflower,146,23.33,31.39,406.7,141.5,40.6,5.26,18.8,94.9,5.5,149.8,9.252585259853683,24.721085283631318,5.0,4,0.613,0.879,0.0152,0.645411897,21.77
sunflower,120,27.9,16.99,688.7,221.3,81.5,8.2,34.8,198.6,35.8,226.3,5.0,13.732981700037314,5.0,4,0.453,0.788,0.0121,0.332950619,18.36
safflower,115,31.19,16.89,399.8,202.8,52.6,8.29,20.0,212.6,13.9,392.3,5.0,13.902903858779244,5.0,5,0.778,0.897,0.013,0.47683955,19.93
mustard,124,31.51,25.59,753.5,32.6,78.3,6.39,20.9,173.5,8.6,242.8,5.0,10.095580427410983,5.0,1,0.632,0.79,0.0063,0.430022364,19.42
sunflower,97,19.41,10.43,534.1,130.3,77.3,5.17,29.1,122.7,8.8,308.0,5.0,22.483760824988025,5.0,4,0.696,0.696,0.0049,0.332950619,18.36
mustard,117,16.23,14.31,832.4,193.0,89.9,8.21,49.7,97.4,37.1,361.2,5.0,13.270298172903196,5.0,1,0.659,0.659,0.0035,0.430022364,19.42
soybean,117,21.88,14.63,508.7,228.2,55.7,5.43,29.2,106.8,31.3,317.7,45.043531213199174,38.37424268332435,5.0,4,0.9,0.9,0.0024,1.655349128,32.79
mustard,135,29.16,11.38,880.1,163.2,60.3,4.77,33.9,121.8,37.2,259.9,5.0,10.10342635765357,5.0,4,0.5,0.883,0.009,0.430022364,19.42
sunflower,117,27.65,25.02,935.5,44.6,87.1,5.36,58.8,115.6,36.1,363.3,5.0,10.677396714342713,5.0,5,0.481,0.679,0.007,0.332950619,18.36
niger seed,117,27.16,22.19,827.0,196.9,85.1,6.26,18.5,182.2,39.1,179.6,5.0,17.28867137503408,5.0,1,0.685,0.685,0.007,0.502213617,20.21
